Date,Open,High,Low,Close,Adj Close,Volume
2019-09-19,5.220000,5.250000,5.150000,5.150000,5.128542,14181100
2019-09-20,5.250000,5.330000,5.250000,5.290000,5.267958,23969500
2019-09-23,5.160000,5.180000,5.140000,5.180000,5.158417,17469800
2019-09-24,5.150000,5.160000,5.090000,5.100000,5.078750,25975000
2019-09-25,5.050000,5.080000,5.010000,5.070000,5.048875,15817000
2019-09-26,5.050000,5.050000,4.970000,4.990000,4.969208,15995500
2019-09-27,5.050000,5.090000,4.990000,5.040000,5.019000,20225400
2019-09-30,5.060000,5.110000,5.030000,5.060000,5.038917,16059600
2019-10-01,5.060000,5.060000,4.870000,4.910000,4.889542,54146600
2019-10-02,4.870000,4.870000,4.800000,4.820000,4.799917,31285500
2019-10-03,4.810000,4.870000,4.750000,4.840000,4.819833,23269900
2019-10-04,4.870000,4.890000,4.840000,4.890000,4.869625,13606800
2019-10-07,4.900000,4.960000,4.890000,4.910000,4.889542,13957200
2019-10-08,4.950000,4.960000,4.880000,4.900000,4.879583,14806700
2019-10-09,4.940000,4.940000,4.890000,4.910000,4.889542,19134400
2019-10-10,4.960000,4.980000,4.900000,4.940000,4.919417,26240000
2019-10-11,5.110000,5.120000,5.000000,5.020000,4.999084,30404800
2019-10-14,5.010000,5.030000,4.950000,4.950000,4.929375,26564100
2019-10-15,4.990000,5.050000,4.980000,5.010000,4.989125,17325600
2019-10-16,5.080000,5.100000,5.040000,5.090000,5.068792,17209400
2019-10-17,5.280000,5.280000,5.150000,5.230000,5.208209,36374800
2019-10-18,5.230000,5.240000,5.170000,5.200000,5.178333,34741600
2019-10-21,5.250000,5.270000,5.180000,5.200000,5.178333,18421900
2019-10-22,5.230000,5.240000,5.180000,5.180000,5.158417,18207300
2019-10-23,5.230000,5.240000,5.100000,5.110000,5.088708,34964500
2019-10-24,4.020000,4.090000,3.830000,3.900000,3.883750,251150000
2019-10-25,3.830000,3.850000,3.750000,3.780000,3.764250,83786700
2019-10-28,3.680000,3.700000,3.580000,3.590000,3.575042,82241700
2019-10-29,3.530000,3.620000,3.500000,3.550000,3.535208,59696400
2019-10-30,3.570000,3.650000,3.560000,3.650000,3.634792,53804500
2019-10-31,3.670000,3.680000,3.630000,3.650000,3.634792,34401300
2019-11-01,3.640000,3.700000,3.630000,3.660000,3.644750,29752400
2019-11-04,3.620000,3.650000,3.600000,3.610000,3.594958,24436200
2019-11-05,3.540000,3.570000,3.510000,3.540000,3.525250,38602300
2019-11-06,3.590000,3.640000,3.540000,3.590000,3.575042,41319900
2019-11-07,3.580000,3.610000,3.540000,3.570000,3.555125,25687000
2019-11-08,3.560000,3.580000,3.520000,3.570000,3.555125,20833100
2019-11-11,3.500000,3.570000,3.500000,3.530000,3.515292,39835800
2019-11-12,3.510000,3.530000,3.490000,3.510000,3.495375,25814900
2019-11-13,3.480000,3.500000,3.450000,3.470000,3.455542,23864400
2019-11-14,3.380000,3.400000,3.330000,3.370000,3.355958,37154300
2019-11-15,3.390000,3.470000,3.380000,3.450000,3.435625,28503600
2019-11-18,3.440000,3.490000,3.440000,3.450000,3.435625,29076000
2019-11-19,3.470000,3.470000,3.410000,3.430000,3.415708,30007300
2019-11-20,3.380000,3.400000,3.350000,3.350000,3.336042,18567600
2019-11-21,3.390000,3.400000,3.360000,3.380000,3.365917,20464700
2019-11-22,3.400000,3.460000,3.400000,3.430000,3.415708,16676800
2019-11-25,3.490000,3.510000,3.440000,3.470000,3.455542,20527900
2019-11-26,3.460000,3.460000,3.410000,3.430000,3.415708,20520800
2019-11-27,3.430000,3.480000,3.410000,3.460000,3.445583,16378100
